user_id,occurred_at,experiment,experiment_group,location,device,user_type
12311.0,2014-06-06 16:10:56,publisher_update,test_group,Malaysia,iphone 5,1.0
150.0,2014-06-03 09:31:34,publisher_update,control_group,United States,lenovo thinkpad,1.0
163.0,2014-06-04 09:30:49,publisher_update,control_group,Egypt,mac mini,1.0
172.0,2014-06-04 19:01:49,publisher_update,test_group,United States,iphone 5,1.0
175.0,2014-06-06 14:27:38,publisher_update,test_group,Italy,dell inspiron notebook,2.0
8373.0,2014-06-02 09:31:18,publisher_update,test_group,Brazil,lenovo thinkpad,2.0
182.0,2014-06-06 10:33:49,publisher_update,test_group,India,ipad mini,1.0
8378.0,2014-06-09 09:31:44,publisher_update,test_group,United States,macbook pro,3.0
8383.0,2014-06-09 09:31:46,publisher_update,test_group,Brazil,lenovo thinkpad,1.0
8384.0,2014-06-02 09:31:25,publisher_update,test_group,United States,dell inspiron notebook,2.0
201.0,2014-06-02 09:31:27,publisher_update,control_group,United Kingdom,ipad air,2.0
8394.0,2014-06-10 09:31:46,publisher_update,control_group,Thailand,hp pavilion desktop,3.0
203.0,2014-06-03 10:59:08,publisher_update,control_group,Japan,iphone 5s,1.0
8396.0,2014-06-03 18:29:28,publisher_update,test_group,Brazil,acer aspire desktop,3.0
8401.0,2014-06-10 09:31:23,publisher_update,test_group,Mexico,ipad mini,3.0
215.0,2014-06-03 09:31:18,publisher_update,test_group,United States,macbook pro,1.0
8413.0,2014-06-17 09:31:25,publisher_update,control_group,Canada,macbook air,2.0
226.0,2014-06-25 09:31:33,publisher_update,control_group,Canada,iphone 5,3.0
8423.0,2014-06-03 13:06:52,publisher_update,control_group,Japan,kindle fire,3.0
8427.0,2014-06-03 09:31:29,publisher_update,test_group,United States,macbook pro,1.0
8429.0,2014-06-03 09:31:27,publisher_update,control_group,United States,samsung galaxy s4,2.0
8430.0,2014-06-10 09:31:19,publisher_update,control_group,United States,nexus 7,3.0
239.0,2014-06-02 18:18:20,publisher_update,control_group,Japan,hp pavilion desktop,2.0
8438.0,2014-06-05 16:57:09,publisher_update,control_group,France,lenovo thinkpad,1.0
8449.0,2014-06-03 00:27:42,publisher_update,test_group,United States,samsung galaxy s4,1.0
260.0,2014-06-07 14:01:18,publisher_update,test_group,Indonesia,dell inspiron desktop,1.0
8453.0,2014-06-07 08:22:24,publisher_update,control_group,United States,nexus 5,1.0
8454.0,2014-06-04 09:31:33,publisher_update,test_group,Germany,hp pavilion desktop,1.0
264.0,2014-06-01 15:33:59,publisher_update,test_group,Japan,samsung galaxy s4,2.0
270.0,2014-06-06 14:03:00,publisher_update,control_group,France,macbook pro,1.0
8463.0,2014-06-25 09:31:09,publisher_update,control_group,France,nokia lumia 635,2.0
8469.0,2014-06-11 09:31:39,publisher_update,control_group,Switzerland,mac mini,3.0
8470.0,2014-06-18 09:31:24,publisher_update,control_group,Hong Kong,macbook air,1.0
8474.0,2014-06-04 09:31:12,publisher_update,control_group,United States,macbook pro,2.0
285.0,2014-06-02 13:04:16,publisher_update,test_group,Germany,dell inspiron desktop,1.0
8478.0,2014-06-07 11:39:38,publisher_update,test_group,Thailand,nexus 7,1.0
287.0,2014-06-03 14:12:38,publisher_update,control_group,United States,nexus 10,1.0
8487.0,2014-06-07 14:06:41,publisher_update,control_group,Egypt,macbook air,1.0
300.0,2014-06-24 09:31:28,publisher_update,control_group,Russia,lenovo thinkpad,2.0
8502.0,2014-06-05 09:31:44,publisher_update,test_group,Japan,macbook pro,1.0
319.0,2014-06-05 09:31:39,publisher_update,test_group,Spain,macbook pro,2.0
8514.0,2014-06-05 09:31:28,publisher_update,control_group,Finland,lenovo thinkpad,3.0
323.0,2014-06-12 09:31:21,publisher_update,control_group,United Kingdom,lenovo thinkpad,3.0
8526.0,2014-06-19 09:31:21,publisher_update,test_group,Italy,ipad air,3.0
345.0,2014-06-05 15:31:15,publisher_update,test_group,United States,samsung galaxy s4,3.0
346.0,2014-06-02 09:31:39,publisher_update,control_group,United States,iphone 5,3.0
347.0,2014-06-06 19:05:57,publisher_update,test_group,Germany,lenovo thinkpad,1.0
8550.0,2014-06-05 14:33:49,publisher_update,test_group,United States,ipad air,3.0
359.0,2014-06-16 09:31:21,publisher_update,control_group,Japan,macbook pro,1.0
8557.0,2014-06-13 09:31:30,publisher_update,control_group,Turkey,lenovo thinkpad,2.0
366.0,2014-06-03 18:38:45,publisher_update,test_group,Japan,lenovo thinkpad,1.0
372.0,2014-06-17 09:31:14,publisher_update,control_group,Sweden,nexus 10,1.0
373.0,2014-06-03 09:31:38,publisher_update,control_group,United States,mac mini,3.0
381.0,2014-06-17 09:31:28,publisher_update,test_group,Austria,macbook air,2.0
8574.0,2014-06-06 09:31:44,publisher_update,test_group,United Arab Emirates,samsung galaxy s4,1.0
12352.0,2014-06-02 07:10:54,publisher_update,test_group,United States,mac mini,2.0
388.0,2014-06-04 09:31:21,publisher_update,control_group,Mexico,asus chromebook,2.0
390.0,2014-06-02 13:09:35,publisher_update,control_group,Saudi Arabia,asus chromebook,1.0
8583.0,2014-06-07 15:59:19,publisher_update,test_group,Russia,macbook air,1.0
402.0,2014-06-01 08:32:25,publisher_update,control_group,Saudi Arabia,iphone 4s,2.0
12355.0,2014-06-05 16:04:00,publisher_update,test_group,Germany,hp pavilion desktop,1.0
404.0,2014-06-26 09:31:23,publisher_update,control_group,Brazil,nexus 10,3.0
8601.0,2014-06-23 09:31:41,publisher_update,control_group,Japan,macbook pro,3.0
8612.0,2014-06-09 09:31:31,publisher_update,control_group,Germany,lenovo thinkpad,2.0
8614.0,2014-06-23 09:31:29,publisher_update,control_group,Mexico,iphone 5,3.0
428.0,2014-06-13 09:31:22,publisher_update,control_group,Brazil,iphone 5s,1.0
429.0,2014-06-06 09:31:19,publisher_update,control_group,United States,macbook pro,2.0
430.0,2014-06-05 08:52:49,publisher_update,test_group,Indonesia,macbook pro,3.0
437.0,2014-06-07 09:53:59,publisher_update,control_group,Brazil,ipad air,2.0
13108.0,2014-06-12 08:53:04,publisher_update,control_group,Thailand,iphone 4s,3.0
441.0,2014-06-03 17:33:08,publisher_update,test_group,United Kingdom,asus chromebook,1.0
8636.0,2014-06-09 09:31:25,publisher_update,control_group,United Kingdom,ipad mini,2.0
8637.0,2014-06-30 09:31:15,publisher_update,test_group,Finland,nexus 5,3.0
451.0,2014-06-23 09:31:38,publisher_update,control_group,Germany,macbook air,1.0
457.0,2014-06-03 10:40:18,publisher_update,control_group,United States,mac mini,2.0
460.0,2014-06-03 09:31:38,publisher_update,control_group,Spain,nexus 10,2.0
466.0,2014-06-03 09:46:49,publisher_update,control_group,United States,dell inspiron notebook,1.0
8659.0,2014-06-04 17:43:00,publisher_update,control_group,United States,lenovo thinkpad,1.0
8660.0,2014-06-03 09:31:21,publisher_update,test_group,Brazil,macbook air,1.0
8663.0,2014-06-24 09:31:06,publisher_update,control_group,Indonesia,macbook pro,2.0
12367.0,2014-06-05 15:13:49,publisher_update,test_group,Russia,nexus 7,1.0
489.0,2014-06-26 09:31:20,publisher_update,control_group,Russia,macbook air,1.0
491.0,2014-06-12 09:31:44,publisher_update,control_group,India,nexus 7,3.0
492.0,2014-06-12 09:31:28,publisher_update,test_group,United States,macbook pro,1.0
493.0,2014-06-26 09:31:31,publisher_update,test_group,Japan,ipad mini,3.0
501.0,2014-06-04 10:08:19,publisher_update,test_group,United States,samsung galaxy s4,1.0
503.0,2014-06-04 14:54:41,publisher_update,control_group,Canada,acer aspire notebook,2.0
8701.0,2014-06-17 09:31:16,publisher_update,control_group,Nigeria,macbook pro,3.0
8705.0,2014-06-06 15:37:09,publisher_update,control_group,United States,lenovo thinkpad,1.0
8710.0,2014-06-04 09:31:21,publisher_update,control_group,Argentina,lenovo thinkpad,3.0
521.0,2014-06-04 19:57:25,publisher_update,control_group,Mexico,lenovo thinkpad,1.0
523.0,2014-06-03 10:31:27,publisher_update,control_group,Saudi Arabia,macbook air,1.0
8718.0,2014-06-04 09:31:34,publisher_update,control_group,Iraq,macbook pro,3.0
527.0,2014-06-30 09:31:16,publisher_update,test_group,Korea,dell inspiron desktop,1.0
529.0,2014-06-07 10:59:23,publisher_update,test_group,Germany,lenovo thinkpad,1.0
8733.0,2014-06-04 09:31:24,publisher_update,control_group,Indonesia,nexus 7,1.0
8735.0,2014-06-02 06:53:31,publisher_update,control_group,Egypt,lenovo thinkpad,3.0
552.0,2014-06-05 16:41:27,publisher_update,control_group,United States,dell inspiron notebook,1.0
8746.0,2014-06-11 09:31:44,publisher_update,test_group,Germany,macbook pro,1.0
566.0,2014-06-05 08:16:10,publisher_update,test_group,Japan,lenovo thinkpad,1.0
575.0,2014-06-26 09:31:24,publisher_update,test_group,Argentina,mac mini,1.0
576.0,2014-06-12 09:31:18,publisher_update,test_group,Japan,iphone 4s,1.0
581.0,2014-06-20 09:31:24,publisher_update,control_group,United States,dell inspiron notebook,1.0
2828.0,2014-06-03 09:14:59,publisher_update,test_group,United States,asus chromebook,2.0
586.0,2014-06-13 09:31:39,publisher_update,test_group,Iraq,hp pavilion desktop,1.0
8779.0,2014-06-05 09:31:20,publisher_update,test_group,United States,samsung galaxy s4,1.0
589.0,2014-06-27 09:31:25,publisher_update,test_group,Belgium,dell inspiron notebook,1.0
8782.0,2014-06-05 12:45:39,publisher_update,control_group,Korea,dell inspiron notebook,3.0
591.0,2014-06-20 09:31:40,publisher_update,control_group,Italy,macbook pro,1.0
597.0,2014-06-01 01:02:31,publisher_update,control_group,United States,nexus 5,1.0
602.0,2014-06-23 09:31:21,publisher_update,control_group,Japan,macbook pro,3.0
8802.0,2014-06-27 09:31:14,publisher_update,control_group,Malaysia,acer aspire notebook,3.0
614.0,2014-06-09 09:31:24,publisher_update,control_group,India,hp pavilion desktop,1.0
8807.0,2014-06-11 17:01:48,publisher_update,test_group,United States,iphone 4s,2.0
8808.0,2014-06-05 17:45:39,publisher_update,control_group,France,macbook pro,2.0
621.0,2014-06-03 17:36:36,publisher_update,test_group,Saudi Arabia,nexus 10,2.0
8814.0,2014-06-05 07:28:07,publisher_update,test_group,United States,asus chromebook,3.0
8823.0,2014-06-06 11:29:57,publisher_update,test_group,Austria,macbook air,2.0
633.0,2014-06-25 09:31:21,publisher_update,test_group,Malaysia,acer aspire desktop,3.0
8829.0,2014-06-13 09:31:36,publisher_update,control_group,Russia,dell inspiron desktop,3.0
8834.0,2014-06-06 09:31:35,publisher_update,control_group,United States,macbook air,3.0
643.0,2014-06-11 09:31:37,publisher_update,test_group,India,macbook pro,1.0
644.0,2014-06-12 09:31:27,publisher_update,test_group,United States,ipad air,1.0
8837.0,2014-06-13 09:31:12,publisher_update,control_group,Argentina,dell inspiron desktop,1.0
8847.0,2014-06-02 16:38:02,publisher_update,control_group,Germany,macbook pro,3.0
660.0,2014-06-06 09:31:12,publisher_update,test_group,United Kingdom,samsung galaxy s4,2.0
8856.0,2014-06-02 09:31:17,publisher_update,control_group,Korea,iphone 5,2.0
668.0,2014-06-20 09:31:23,publisher_update,test_group,Italy,acer aspire notebook,2.0
1477.0,2014-06-05 09:31:32,publisher_update,test_group,United Arab Emirates,macbook pro,2.0
2844.0,2014-06-16 09:31:34,publisher_update,test_group,United States,iphone 5s,1.0
684.0,2014-06-05 17:23:24,publisher_update,test_group,Hong Kong,iphone 5s,1.0
700.0,2014-06-05 19:28:40,publisher_update,control_group,United Kingdom,macbook air,1.0
702.0,2014-06-03 13:29:38,publisher_update,test_group,Nigeria,htc one,1.0
703.0,2014-06-03 09:31:08,publisher_update,test_group,United Kingdom,dell inspiron notebook,3.0
8897.0,2014-06-30 09:31:28,publisher_update,control_group,Netherlands,samsumg galaxy tablet,3.0
714.0,2014-06-04 09:31:40,publisher_update,test_group,Norway,nexus 7,1.0
8909.0,2014-06-02 12:16:48,publisher_update,control_group,United States,acer aspire notebook,3.0
719.0,2014-06-11 09:31:40,publisher_update,test_group,Russia,ipad air,1.0
8912.0,2014-06-09 09:31:23,publisher_update,control_group,Japan,lenovo thinkpad,3.0
726.0,2014-06-18 09:31:32,publisher_update,control_group,United States,windows surface,3.0
8921.0,2014-06-09 09:31:32,publisher_update,control_group,Spain,macbook air,3.0
8922.0,2014-06-02 09:31:37,publisher_update,test_group,India,samsumg galaxy tablet,3.0
8925.0,2014-06-07 07:42:49,publisher_update,control_group,United States,macbook pro,1.0
745.0,2014-06-13 09:31:34,publisher_update,test_group,Russia,macbook air,1.0
746.0,2014-06-07 02:35:14,publisher_update,control_group,Japan,samsung galaxy s4,3.0
8939.0,2014-06-04 00:56:03,publisher_update,test_group,Russia,nexus 5,1.0
753.0,2014-06-05 14:59:31,publisher_update,test_group,Japan,nexus 5,1.0
8947.0,2014-06-17 09:31:29,publisher_update,control_group,United States,iphone 4s,2.0
756.0,2014-06-06 09:31:15,publisher_update,test_group,Poland,acer aspire notebook,1.0
8950.0,2014-06-24 09:31:31,publisher_update,test_group,United States,lenovo thinkpad,1.0
759.0,2014-06-16 09:31:37,publisher_update,test_group,Russia,nokia lumia 635,1.0
8953.0,2014-06-24 09:31:20,publisher_update,control_group,Germany,nexus 5,3.0
771.0,2014-06-16 09:31:27,publisher_update,test_group,Brazil,iphone 5,2.0
772.0,2014-06-16 09:31:53,publisher_update,control_group,Germany,ipad air,2.0
775.0,2014-06-09 09:31:20,publisher_update,control_group,United Kingdom,iphone 5,3.0
8970.0,2014-06-03 19:17:36,publisher_update,control_group,United States,iphone 5,2.0
8971.0,2014-06-10 09:31:20,publisher_update,test_group,Germany,nexus 7,2.0
780.0,2014-06-30 09:31:24,publisher_update,test_group,United States,iphone 5s,2.0
8981.0,2014-06-24 09:31:43,publisher_update,control_group,Australia,lenovo thinkpad,2.0
8983.0,2014-06-11 09:31:31,publisher_update,control_group,United States,macbook pro,2.0
800.0,2014-06-24 09:31:30,publisher_update,control_group,Australia,iphone 5,3.0
802.0,2014-06-04 09:31:28,publisher_update,control_group,Canada,nexus 7,3.0
806.0,2014-06-04 09:31:13,publisher_update,test_group,India,macbook pro,2.0
9003.0,2014-06-04 09:31:09,publisher_update,control_group,Switzerland,hp pavilion desktop,1.0
9007.0,2014-06-18 09:31:23,publisher_update,test_group,Japan,iphone 4s,3.0
819.0,2014-06-26 09:31:33,publisher_update,test_group,United States,dell inspiron notebook,1.0
822.0,2014-06-07 07:31:31,publisher_update,control_group,France,lenovo thinkpad,2.0
823.0,2014-06-12 09:31:23,publisher_update,control_group,Canada,kindle fire,3.0
825.0,2014-06-05 09:31:31,publisher_update,test_group,United States,kindle fire,1.0
827.0,2014-06-03 09:24:20,publisher_update,test_group,India,iphone 5s,1.0
9025.0,2014-06-05 09:31:18,publisher_update,control_group,Belgium,nexus 5,2.0
9033.0,2014-06-05 09:31:31,publisher_update,test_group,United States,lenovo thinkpad,1.0
9036.0,2014-06-05 09:31:37,publisher_update,control_group,United States,macbook pro,3.0
11064.0,2014-06-06 17:23:01,publisher_update,control_group,Australia,lenovo thinkpad,2.0
857.0,2014-06-02 13:59:41,publisher_update,control_group,Canada,acer aspire notebook,1.0
864.0,2014-06-09 09:31:37,publisher_update,test_group,United States,macbook pro,1.0
9065.0,2014-06-03 10:17:48,publisher_update,test_group,Brazil,lenovo thinkpad,1.0
9074.0,2014-06-06 09:31:20,publisher_update,control_group,Taiwan,nexus 5,3.0
8342.0,2014-06-09 09:31:33,publisher_update,test_group,Turkey,kindle fire,3.0
9097.0,2014-06-13 09:31:13,publisher_update,control_group,United States,iphone 4s,3.0
9098.0,2014-06-06 09:31:45,publisher_update,test_group,Netherlands,macbook pro,3.0
908.0,2014-06-12 09:31:35,publisher_update,test_group,United States,acer aspire notebook,3.0
914.0,2014-06-02 02:41:58,publisher_update,test_group,United Kingdom,macbook air,1.0
9107.0,2014-06-13 09:31:29,publisher_update,control_group,United States,dell inspiron notebook,2.0
916.0,2014-06-05 12:22:40,publisher_update,control_group,United States,nokia lumia 635,1.0
919.0,2014-06-12 09:31:24,publisher_update,test_group,United States,nokia lumia 635,1.0
931.0,2014-06-27 09:31:40,publisher_update,test_group,Brazil,macbook pro,1.0
9124.0,2014-06-23 09:31:17,publisher_update,test_group,Japan,iphone 5,1.0
934.0,2014-06-27 09:31:20,publisher_update,test_group,Egypt,macbook pro,2.0
9137.0,2014-06-02 09:31:42,publisher_update,control_group,United Arab Emirates,macbook pro,3.0
949.0,2014-06-16 09:31:31,publisher_update,test_group,United States,lenovo thinkpad,3.0
952.0,2014-06-01 07:46:31,publisher_update,test_group,Mexico,samsung galaxy s4,3.0
9146.0,2014-06-30 09:31:38,publisher_update,control_group,United States,macbook pro,3.0
9147.0,2014-06-03 17:04:19,publisher_update,test_group,United States,asus chromebook,2.0
9151.0,2014-06-30 09:31:03,publisher_update,test_group,Israel,nexus 7,3.0
960.0,2014-06-16 09:31:32,publisher_update,test_group,United Kingdom,macbook air,3.0
9153.0,2014-06-16 09:31:06,publisher_update,test_group,Singapore,nexus 5,3.0
966.0,2014-06-30 09:31:33,publisher_update,control_group,United Kingdom,lenovo thinkpad,1.0
9162.0,2014-06-09 09:31:24,publisher_update,test_group,Japan,macbook air,3.0
973.0,2014-06-02 16:24:56,publisher_update,control_group,United States,macbook pro,1.0
9166.0,2014-06-30 09:31:08,publisher_update,control_group,United States,lenovo thinkpad,3.0
9174.0,2014-06-16 09:31:38,publisher_update,control_group,Sweden,samsung galaxy s4,3.0
9185.0,2014-06-01 14:32:15,publisher_update,control_group,Australia,lenovo thinkpad,2.0
9191.0,2014-06-09 09:31:32,publisher_update,control_group,United States,macbook pro,2.0
9193.0,2014-06-24 09:31:21,publisher_update,control_group,Denmark,lenovo thinkpad,2.0
1012.0,2014-06-04 08:51:15,publisher_update,test_group,United States,iphone 5,1.0
1018.0,2014-06-05 09:31:28,publisher_update,test_group,United States,iphone 5,1.0
1019.0,2014-06-20 09:31:21,publisher_update,test_group,India,samsung galaxy s4,2.0
9213.0,2014-06-01 13:17:22,publisher_update,control_group,Russia,iphone 5,3.0
1024.0,2014-06-06 09:31:19,publisher_update,test_group,United States,macbook pro,1.0
9217.0,2014-06-03 09:31:25,publisher_update,control_group,Belgium,macbook air,3.0
9223.0,2014-06-17 09:31:35,publisher_update,test_group,Colombia,lenovo thinkpad,3.0
1033.0,2014-06-02 09:31:14,publisher_update,control_group,Switzerland,iphone 5s,1.0
1035.0,2014-06-30 09:31:25,publisher_update,test_group,United States,lenovo thinkpad,1.0
9229.0,2014-06-02 10:36:10,publisher_update,test_group,Italy,macbook pro,3.0
1047.0,2014-06-06 18:28:13,publisher_update,control_group,Italy,lenovo thinkpad,1.0
9241.0,2014-06-24 09:31:19,publisher_update,test_group,United States,acer aspire notebook,1.0
1055.0,2014-06-30 09:31:24,publisher_update,control_group,Venezuela,macbook pro,3.0
1061.0,2014-06-17 09:31:31,publisher_update,test_group,Australia,kindle fire,2.0
1063.0,2014-06-24 09:31:14,publisher_update,test_group,Canada,hp pavilion desktop,1.0
9258.0,2014-06-04 09:31:22,publisher_update,test_group,Korea,iphone 5s,1.0
9264.0,2014-06-11 09:31:10,publisher_update,control_group,United States,ipad air,3.0
1078.0,2014-06-04 10:34:38,publisher_update,test_group,United States,macbook air,1.0
1080.0,2014-06-25 09:31:26,publisher_update,test_group,United States,lenovo thinkpad,1.0
9290.0,2014-06-12 09:31:22,publisher_update,test_group,Japan,lenovo thinkpad,3.0
1104.0,2014-06-07 09:10:14,publisher_update,test_group,United States,dell inspiron desktop,3.0
9303.0,2014-06-03 13:14:52,publisher_update,control_group,Japan,nexus 10,1.0
12474.0,2014-06-12 07:38:01,publisher_update,control_group,United States,lenovo thinkpad,2.0
9318.0,2014-06-12 09:31:26,publisher_update,control_group,United States,macbook pro,1.0
1127.0,2014-06-16 09:31:27,publisher_update,control_group,United Kingdom,macbook pro,3.0
9320.0,2014-06-05 09:31:25,publisher_update,control_group,Italy,macbook air,3.0
9326.0,2014-06-12 09:31:21,publisher_update,control_group,United States,ipad mini,2.0
1135.0,2014-06-23 09:31:24,publisher_update,test_group,Korea,lenovo thinkpad,2.0
1139.0,2014-06-02 09:31:12,publisher_update,test_group,Japan,ipad air,1.0
9346.0,2014-06-20 09:31:28,publisher_update,test_group,Indonesia,macbook pro,1.0
9353.0,2014-06-06 09:31:38,publisher_update,control_group,Poland,dell inspiron notebook,1.0
1165.0,2014-06-20 15:55:19,publisher_update,control_group,France,htc one,3.0
1170.0,2014-06-03 17:51:06,publisher_update,test_group,Iran,dell inspiron desktop,1.0
12483.0,2014-06-05 04:15:27,publisher_update,control_group,Germany,samsung galaxy s4,3.0
1179.0,2014-06-12 09:31:25,publisher_update,test_group,Korea,iphone 5,3.0
1194.0,2014-06-04 14:28:43,publisher_update,control_group,Indonesia,amazon fire phone,1.0
1208.0,2014-06-06 09:31:31,publisher_update,test_group,Philippines,macbook pro,3.0
9403.0,2014-06-16 09:31:37,publisher_update,control_group,Belgium,macbook pro,3.0
1215.0,2014-06-16 09:31:28,publisher_update,control_group,France,iphone 5s,1.0
1220.0,2014-06-09 09:31:37,publisher_update,test_group,Colombia,lenovo thinkpad,2.0
1225.0,2014-06-16 09:31:32,publisher_update,test_group,India,macbook pro,1.0
11127.0,2014-06-05 15:13:20,publisher_update,control_group,United States,ipad mini,2.0
9421.0,2014-06-03 11:29:01,publisher_update,control_group,Spain,macbook pro,3.0
9423.0,2014-06-09 09:31:27,publisher_update,test_group,United States,nexus 10,3.0
9426.0,2014-06-02 09:31:33,publisher_update,control_group,Turkey,dell inspiron desktop,3.0
9430.0,2014-06-02 09:31:26,publisher_update,control_group,United States,kindle fire,3.0
9440.0,2014-06-02 09:31:29,publisher_update,control_group,United States,dell inspiron notebook,3.0
9441.0,2014-06-09 09:31:23,publisher_update,test_group,Netherlands,iphone 5s,3.0
9455.0,2014-06-23 09:31:38,publisher_update,test_group,United Arab Emirates,iphone 5s,2.0
1271.0,2014-06-05 18:01:01,publisher_update,control_group,United States,macbook pro,1.0
9464.0,2014-06-02 12:21:27,publisher_update,control_group,Germany,macbook pro,3.0
9466.0,2014-06-09 09:31:40,publisher_update,test_group,United States,iphone 5s,1.0
1275.0,2014-06-04 09:31:12,publisher_update,test_group,Japan,nexus 7,1.0
1283.0,2014-06-05 09:31:20,publisher_update,control_group,United States,dell inspiron notebook,1.0
9479.0,2014-06-10 09:31:47,publisher_update,test_group,United States,dell inspiron notebook,1.0
9482.0,2014-06-03 09:31:19,publisher_update,test_group,United States,asus chromebook,1.0
1293.0,2014-06-04 12:30:33,publisher_update,control_group,Germany,iphone 5,3.0
1297.0,2014-06-13 09:31:25,publisher_update,test_group,Sweden,lenovo thinkpad,1.0
9492.0,2014-06-02 09:22:15,publisher_update,control_group,United States,macbook pro,1.0
1301.0,2014-06-04 13:34:39,publisher_update,test_group,France,macbook air,1.0
1306.0,2014-06-20 09:31:29,publisher_update,test_group,India,dell inspiron desktop,1.0
1311.0,2014-06-03 13:07:49,publisher_update,control_group,Taiwan,dell inspiron notebook,1.0
1312.0,2014-06-30 09:31:46,publisher_update,test_group,France,nexus 5,1.0
1319.0,2014-06-02 13:16:41,publisher_update,control_group,United Kingdom,lenovo thinkpad,1.0
1322.0,2014-06-23 09:31:21,publisher_update,control_group,United States,samsung galaxy note,3.0
9516.0,2014-06-17 09:31:27,publisher_update,control_group,Japan,macbook pro,3.0
1326.0,2014-06-09 09:31:51,publisher_update,control_group,Korea,lenovo thinkpad,2.0
9536.0,2014-06-04 09:31:43,publisher_update,test_group,Brazil,macbook pro,2.0
1351.0,2014-06-03 09:31:22,publisher_update,test_group,France,nexus 5,1.0
1352.0,2014-06-17 09:31:25,publisher_update,control_group,Netherlands,samsung galaxy s4,3.0
9548.0,2014-06-11 09:31:20,publisher_update,control_group,Brazil,dell inspiron notebook,3.0
1361.0,2014-06-04 09:31:32,publisher_update,test_group,Taiwan,ipad air,1.0
1371.0,2014-06-04 11:39:34,publisher_update,control_group,Japan,iphone 5,1.0
9565.0,2014-06-11 09:31:25,publisher_update,control_group,France,ipad air,2.0
9566.0,2014-06-03 16:10:56,publisher_update,control_group,United States,lenovo thinkpad,3.0
11152.0,2014-06-12 11:03:39,publisher_update,control_group,United States,nexus 7,2.0
1380.0,2014-06-19 09:31:20,publisher_update,control_group,United States,lenovo thinkpad,1.0
1381.0,2014-06-01 16:37:30,publisher_update,test_group,Germany,iphone 5s,1.0
